,hurst_100
2019-11-15,0.4960525847275458
2019-11-18,0.5000823758728771
2019-11-19,0.4730395553850994
2019-11-20,0.47635066278256477
2019-11-21,0.46150339951196456
2019-11-22,0.46580994507933027
2019-11-25,0.46223101977977554
2019-11-26,0.45997341098470546
2019-11-27,0.45141596591947125
2019-11-28,0.482758128895482
2019-11-29,0.4450008547449353
2019-12-02,0.4541530556131962
2019-12-03,0.4541309830282299
2019-12-04,0.4565386960472313
2019-12-05,0.45399048038008527
2019-12-06,0.46261450741311616
2019-12-09,0.4314016422704278
2019-12-10,0.4055916033217429
2019-12-11,0.3943333237812989
2019-12-12,0.3968970784037856
2019-12-13,0.40493454530461637
2019-12-16,0.43965659635787574
2019-12-17,0.435738987505654
2019-12-18,0.43257210509524613
2019-12-19,0.41675410087368564
2019-12-20,0.4181384157243249
2019-12-23,0.42569648044911085
2019-12-24,0.4024796210744551
2019-12-26,0.4093413126396623
2019-12-27,0.4580664896454364
2019-12-30,0.4685314525839187
2019-12-31,0.5324922386329121
2020-01-01,0.5824265470908669
2020-01-02,0.5748937584897617
2020-01-03,0.5708245057997215
2020-01-06,0.5458847765474683
2020-01-07,0.5311333761027982
2020-01-08,0.5146273102755021
2020-01-09,0.5116918669843336
2020-01-10,0.5375092638247879
2020-01-13,0.546299337918559
2020-01-14,0.5872883375127655
2020-01-15,0.5882565242831798
2020-01-16,0.5915721375079731
2020-01-17,0.5682345271847715
2020-01-20,0.5457656831678745
2020-01-21,0.5362668508597231
2020-01-22,0.5396685500814804
2020-01-23,0.5274136199952358
2020-01-24,0.592313578772409
2020-01-27,0.5783313932807941
2020-01-28,0.6387179356119801
2020-01-29,0.6417191844562069
2020-01-30,0.650194016997642
2020-01-31,0.6505515806527408
2020-02-03,0.6240453294821098
2020-02-04,0.5769028974705996
2020-02-05,0.5592325051966098
2020-02-06,0.52960432212587
2020-02-07,0.5514968852273465
2020-02-10,0.5639818527602418
2020-02-11,0.6028414581229654
2020-02-12,0.6048399614678812
2020-02-13,0.622104294779882
2020-02-14,0.6154802392033366
2020-02-17,0.5961947115634745
2020-02-18,0.5185206129099654
2020-02-19,0.5704969415333473
2020-02-20,0.5695575459830426
