,Target,Predicted,Sample,Open,Close,DVT_STD,Buy_and_Hold,Close_Portfolio,Signal,Position,Portfolio_Value
2013-12-05,1,1,Train,6262.4501953125,6241.10009765625,80.70159788082101,118.73900504384977,6241.10009765625,1,1.0,156.6147900129117
2013-12-06,1,1,Train,6234.39990234375,6259.89990234375,85.60699696327463,119.09667758053135,6259.89990234375,1,1.0,157.08655419187787
2013-12-09,-1,0,Train,6415.0,6363.89990234375,101.66612194422044,121.07531216919911,6363.89990234375,0,0.0,159.69634059274964
2013-12-10,-1,0,Train,6354.7001953125,6332.85009765625,110.44161934227444,120.48457930837155,6332.85009765625,0,0.0,159.69634059274964
2013-12-11,-1,0,Train,6307.2001953125,6307.89990234375,112.24415327036358,120.00989354453186,6307.89990234375,0,0.0,159.69634059274964
2013-12-12,0,0,Train,6276.75,6237.0498046875,106.29347090426252,118.66194687305934,6237.0498046875,0,0.0,159.69634059274964
2013-12-13,1,1,Train,6201.2998046875,6168.39990234375,102.9063768165908,117.3558596491554,6168.39990234375,1,1.0,159.69634059274964
2013-12-16,1,1,Train,6168.35009765625,6154.7001953125,102.9474611267371,117.0952181665915,6154.7001953125,1,1.0,159.34166302405762
2013-12-17,1,1,Train,6178.2001953125,6139.0498046875,102.96480283608835,116.79746427989161,6139.0498046875,1,1.0,158.93648337435462
2013-12-18,0,1,Train,6129.9501953125,6217.14990234375,102.84663572615312,118.28334461259342,6217.14990234375,1,1.0,160.95845017175708
2013-12-19,1,1,Train,6253.89990234375,6166.64990234375,94.23768434768138,117.32256531713455,6166.64990234375,1,1.0,159.6510340950417
2013-12-20,0,1,Train,6179.9501953125,6274.25,85.18733073884523,119.36969296104498,6274.25,1,1.0,162.43673899666402
2013-12-23,0,1,Train,6267.2001953125,6284.5,85.03501085407838,119.56470262002425,6284.5,1,1.0,162.70210562609634
2013-12-24,0,1,Train,6296.4501953125,6268.39990234375,78.69835957618767,119.25839290748979,6268.39990234375,1,1.0,162.28528331891874
2013-12-26,0,1,Train,6270.10009765625,6278.89990234375,70.29613873913478,119.45815889961489,6278.89990234375,1,1.0,162.5571223051665
2013-12-27,-1,1,Train,6292.7998046875,6313.7998046875,65.14024651729184,120.12214114883095,6313.7998046875,1,1.0,163.4606607883351
2013-12-30,-1,1,Train,6336.39990234375,6291.10009765625,64.4360906090228,119.69027167301695,6291.10009765625,1,1.0,162.87297837428787
2013-12-31,-1,1,Train,6307.35009765625,6304.0,65.4663949427531,119.93569660539947,6304.0,1,1.0,163.20694945769932
2014-01-02,0,1,Train,6301.25,6221.14990234375,64.88502700519052,118.3594459429268,6221.14990234375,1,1.0,161.06200788080383
2014-01-03,0,1,Train,6194.5498046875,6211.14990234375,62.2036211530308,118.16919261709336,6211.14990234375,1,1.0,160.80311360818692
2014-01-06,1,1,Train,6220.85009765625,6191.4501953125,63.62735788184074,117.79439913902938,6191.4501953125,1,1.0,160.29309947592478
2014-01-07,1,1,Train,6203.89990234375,6162.25,66.45591093262053,117.23885571171047,6162.25,1,1.0,159.53712314335462
2014-01-08,1,1,Train,6178.0498046875,6174.60009765625,61.86691749005331,117.4738204270574,6174.60009765625,1,1.0,159.8568600983009
2014-01-09,1,1,Train,6181.7001953125,6168.35009765625,59.03871309781479,117.35491209841152,6168.35009765625,1,1.0,159.69505117791533
2014-01-10,1,1,Train,6178.85009765625,6171.4501953125,57.015658301515,117.41389248736252,6171.4501953125,1,1.0,159.77531093069095
2014-01-13,0,1,Train,6189.5498046875,6272.75,58.12824022849163,119.34115496216997,6272.75,1,1.0,162.39790485577146
2014-01-14,1,1,Train,6260.25,6241.85009765625,56.89046149750359,118.75327404328728,6241.85009765625,1,1.0,161.5979240816496
2014-01-15,0,1,Train,6265.9501953125,6320.89990234375,58.14814537382026,120.25722286811533,6320.89990234375,1,1.0,163.6444782501575
2014-01-16,0,1,Train,6341.35009765625,6318.89990234375,56.62963292314939,120.21917220294864,6318.89990234375,1,1.0,163.59269939563413
2014-01-17,1,-1,Train,6306.25,6261.64990234375,56.44777435029607,119.12997191255221,6261.64990234375,-1,0.0,162.11052968490233
2014-01-20,-1,-1,Train,6261.75,6303.9501953125,54.753643855616325,119.93474905465555,6303.9501953125,-1,0.0,162.11052968490233
2014-01-21,-1,-1,Train,6320.14990234375,6313.7998046875,56.30069788934063,120.12214114883095,6313.7998046875,-1,0.0,162.11052968490233
2014-01-22,-1,-1,Train,6309.0498046875,6338.9501953125,59.11247873432861,120.6006356950726,6338.9501953125,-1,0.0,162.11052968490233
2014-01-23,-1,-1,Train,6325.9501953125,6345.64990234375,62.36739932930885,120.7280998495531,6345.64990234375,-1,0.0,162.11052968490233
2014-01-24,-1,-1,Train,6301.64990234375,6266.75,62.23603276921902,119.2270029666699,6266.75,-1,0.0,162.11052968490233
2014-01-27,-1,1,Train,6186.2998046875,6135.85009765625,66.66091234799535,116.73658878945284,6135.85009765625,1,1.0,162.11052968490233
2014-01-28,-1,1,Train,6131.85009765625,6126.25,71.43931724290303,116.55394373871009,6126.25,1,1.0,161.85689296117013
2014-01-29,-1,1,Train,6161.0,6120.25,74.85877237109585,116.43979174321004,6120.25,1,1.0,161.69837162139996
2014-01-30,0,1,Train,6067.0,6073.7001953125,82.95157223832273,115.55416622734064,6073.7001953125,1,1.0,160.46851538721623
2014-01-31,0,1,Train,6082.75,6089.5,88.38181988082557,115.8547627662722,6089.5,1,1.0,160.8859497550778
2014-02-03,0,1,Train,6058.7998046875,6001.7998046875,100.88834441744196,114.1862373828277,6001.7998046875,1,1.0,158.56889101190393
2014-02-04,0,0,Train,5947.60009765625,6000.89990234375,110.9004864561058,114.16911644144531,6000.89990234375,0,0.0,158.54511539103834
2014-02-05,0,0,Train,6004.25,6022.39990234375,117.90838461685752,114.5781610919872,6022.39990234375,0,0.0,158.54511539103834
2014-02-06,0,0,Train,6028.35009765625,6036.2998046875,123.05132133435076,114.84261135695304,6036.2998046875,0,0.0,158.54511539103834
2014-02-07,0,0,Train,6077.64990234375,6063.2001953125,126.1670873518314,115.35440023521555,6063.2001953125,0,0.0,158.54511539103834
2014-02-10,0,0,Train,6072.7998046875,6053.4501953125,127.45792673671518,115.16890324252793,6053.4501953125,0,0.0,158.54511539103834
2014-02-11,0,0,Train,6072.4501953125,6062.7001953125,128.5661729059819,115.34488756892387,6062.7001953125,0,0.0,158.54511539103834
2014-02-12,0,0,Train,6085.35009765625,6084.0,124.07210912582283,115.7501234370638,6084.0,0,0.0,158.54511539103834
2014-02-13,1,0,Train,6087.5498046875,6001.10009765625,121.76596662327891,114.17292522384726,6001.10009765625,0,0.0,158.54511539103834
2014-02-14,1,0,Train,6023.75,6048.35009765625,119.41768739549424,115.07187218841024,6048.35009765625,0,0.0,158.54511539103834
2014-02-18,0,0,Train,6071.2998046875,6127.10009765625,111.72601823305052,116.57011712934857,6127.10009765625,0,0.0,158.54511539103834
2014-02-19,0,0,Train,6132.0498046875,6152.75,102.07620364479212,117.0581150521687,6152.75,0,0.0,158.54511539103834
2014-02-20,1,1,Train,6127.14990234375,6091.4501953125,86.33490356542829,115.891865880695,6091.4501953125,1,1.0,158.54511539103834
2014-02-21,1,1,Train,6108.2998046875,6155.4501953125,65.17437498575445,117.109487166029,6155.4501953125,1,1.0,160.21087429239728
2014-02-24,1,1,Train,6140.9501953125,6186.10009765625,55.09613600271476,117.69261175176587,6186.10009765625,1,1.0,161.00861409950483
2014-02-25,1,1,Train,6205.7001953125,6200.0498046875,60.0672622907188,117.9580095674756,6200.0498046875,1,1.0,161.3716898597963
2014-02-26,1,1,Train,6202.4501953125,6238.7998046875,68.78987671186522,118.69524120508017,6238.7998046875,1,1.0,162.38025481960346
2014-02-28,1,1,Train,6228.4501953125,6276.9501953125,80.31842458391652,119.42106507490529,6276.9501953125,1,1.0,163.37321345669588
2014-03-03,1,1,Train,6264.35009765625,6221.4501953125,84.61631795534454,118.3651591165297,6221.4501953125,1,1.0,161.92868815942367
2014-03-04,1,0,Train,6216.75,6297.9501953125,94.74835928095312,119.8205970591555,6297.9501953125,0,0.0,163.91979059620428
2014-03-05,1,0,Train,6328.4501953125,6328.64990234375,101.9109399612158,120.40466919563626,6328.64990234375,0,0.0,163.91979059620428
2014-03-06,1,0,Train,6344.75,6401.14990234375,113.37202725107733,121.78400580792868,6401.14990234375,0,0.0,163.91979059620428
2014-03-07,0,0,Train,6413.9501953125,6526.64990234375,136.61173326902093,124.17168504713834,6526.64990234375,0,0.0,163.91979059620428
2014-03-10,0,0,Train,6491.7001953125,6537.25,154.1269408841413,124.37335543046441,6537.25,0,0.0,163.91979059620428
2014-03-11,0,0,Train,6537.35009765625,6511.89990234375,165.019973515025,123.89106139153401,6511.89990234375,0,0.0,163.91979059620428
2014-03-12,0,0,Train,6497.5,6516.89990234375,172.02914548935445,123.98618805445072,6516.89990234375,0,0.0,163.91979059620428
2014-03-13,0,0,Train,6491.75,6493.10009765625,174.4878144076961,123.5333888548524,6493.10009765625,0,0.0,163.91979059620428
2014-03-14,0,0,Train,6447.25,6504.2001953125,176.22072057980296,123.74457190447016,6504.2001953125,0,0.0,163.91979059620428
2014-03-18,0,0,Train,6532.4501953125,6516.64990234375,169.1692718201033,123.98143172130489,6516.64990234375,0,0.0,163.91979059620428
2014-03-19,0,0,Train,6530.0,6524.0498046875,162.78320204308224,124.122217324479,6524.0498046875,0,0.0,163.91979059620428
2014-03-20,1,0,Train,6508.35009765625,6483.10009765625,157.61029982074933,123.34313552901897,6483.10009765625,0,0.0,163.91979059620428
2014-03-21,1,0,Train,6515.2001953125,6493.2001953125,152.5537738337178,123.53529324605339,6493.2001953125,0,0.0,163.91979059620428
2014-03-24,0,0,Train,6510.5,6583.5,143.8018525475598,125.25327706244407,6583.5,0,0.0,163.91979059620428
2014-03-25,0,0,Train,6550.10009765625,6589.75,137.61086025734718,125.37218539108996,6589.75,0,0.0,163.91979059620428
2014-03-26,1,0,Train,6615.64990234375,6601.39990234375,131.40322099642128,125.59382865774327,6601.39990234375,0,0.0,163.91979059620428
2014-03-27,0,0,Train,6613.10009765625,6641.75,125.52643028909502,126.36150268542383,6641.75,0,0.0,163.91979059620428
2014-03-28,0,0,Train,6673.0498046875,6695.89990234375,123.88758445298473,127.39172258686926,6695.89990234375,0,0.0,163.91979059620428
2014-03-31,0,0,Train,6723.14990234375,6704.2001953125,122.54098234449428,127.54963842113894,6704.2001953125,0,0.0,163.91979059620428
2014-04-01,0,0,Train,6729.5,6721.0498046875,111.32562330719284,127.87020784339774,6721.0498046875,0,0.0,163.91979059620428
2014-04-02,0,0,Train,6757.60009765625,6752.5498046875,107.0012323740704,128.46950581977305,6752.5498046875,0,0.0,163.91979059620428
2014-04-03,0,0,Train,6772.0498046875,6736.10009765625,99.92157168962488,128.15654467260495,6736.10009765625,0,0.0,163.91979059620428
2014-04-04,1,0,Train,6741.85009765625,6694.35009765625,94.14916208384498,127.36223703725035,6694.35009765625,0,0.0,163.91979059620428
2014-04-07,1,0,Train,6694.25,6695.0498046875,95.57515408668364,127.37554919623079,6695.0498046875,0,0.0,163.91979059620428
2014-04-09,0,0,Train,6722.0,6796.2001953125,103.83860651808908,129.29996901880656,6796.2001953125,0,0.0,163.91979059620428
2014-04-10,0,0,Train,6803.0498046875,6796.39990234375,108.67117169183952,129.30376851149532,6796.39990234375,0,0.0,163.91979059620428
2014-04-11,0,0,Train,6758.35009765625,6776.2998046875,110.31023210092174,128.92135746862746,6776.2998046875,0,0.0,163.91979059620428
